teamId,playerId,playerName,Position,Age,Id
167,297390,Manuel Akanji,DEF,27,148
0,303139,Rodri,MID,0,149
0,313171,Ruben Dias,DEF,0,150
167,315227,Erling Haaland,FWD,26,151
0,331254,Phil Foden,AM,0,152
0,355110,Sergio Gomez,DEF,0,153
167,365409,Julian Alvarez,FWD,27,154
167,395692,Cole Palmer,AM,19,155
0,428060,Shea Charles,MID,0,156
167,433972,Maximo Perrone,MID,19,157
0,444791,Rico Lewis,DEF,0,158
167,69778,Kyle Walker,DEF,22,159
167,73084,Kevin De Bruyne,AM,32,160
167,77464,Ilkay Gundogan,MID,27,161
170,115230,Kevin Mbabu,DEF,24,162
170,115279,Aleksandar Mitrovic,FWD,29,163
170,134332,Bobby De Cordova-Reid,AM,28,164
170,135724,Harrison Reed,MID,35,165
170,136455,Josh Onomah,MID,32,166
0,136464,Tosin Adarabioyo,DEF,0,167
170,145996,Kenny Tete,DEF,27,168
170,243254,Andreas Pereira,AM,27,169
170,256125,Marek Rodak,GK,34,170
0,29463,Willian,AM,0,171
0,297395,Sasa Lukic,MID,0,172
170,300359,Issa Diop,DEF,21,173
170,302313,Daniel James,AM,26,174
170,306581,Antonee Robinson,DEF,26,175
170,322774,Joao Palhinha,MID,24,176
170,333044,Harry Wilson,AM,30,177
170,345022,Manor Solomon,AM,31,178
170,363077,Carlos Vinicius,FWD,28,179
170,390214,Jay Stansfield,FWD,30,180
170,444538,Luke Harris,MID,26,181
170,69945,Cedric Soares,DEF,27,182
0,75692,Shane Duffy,DEF,0,183
0,79583,Tom Cairney,MID,0,184
0,85006,Tim Ream,DEF,0,185
170,92173,Bernd Leno,GK,20,186
0,92729,Nathaniel Chalobah,MID,0,187
170,92795,Layvin Kurzawa,DEF,25,188
0,94933,Neeskens Kebano,AM,0,189
174,102173,Felipe,DEF,22,190
174,109000,Jesse Lingard,AM,26,191
0,21571,Wayne Hennessey,GK,0,192
0,281049,Taiwo Awoniyi,FWD,0,193
0,296319,Moussa Niakhate,DEF,0,194
0,296870,Sam Surridge,FWD,0,195
174,298659,Harry Toffolo,DEF,23,196
174,30060,Andre Ayew,FWD,33,197
0,302691,Remo Freuler,MID,0,198
174,304008,Dean Henderson,GK,24,199
174,315714,Joe Worrall,DEF,25,200
0,326646,Renan Lodi,DEF,0,201
174,329811,Emmanuel Dennis,FWD,36,202
0,332867,Morgan Gibbs-White,MID,0,203
0,342830,Ryan Yates,MID,0,204
0,344073,Orel Mangala,MID,0,205
0,364624,Scott McKenna,DEF,0,206
174,366083,Lewis O'Brien,MID,28,207
174,367162,Giulian Biancone,DEF,33,208
174,379688,Brennan Johnson,AM,35,209
0,386969,Neco Williams,DEF,0,210
174,399250,Danilo,MID,25,211
174,40027,Jonjo Shelvey,MID,21,212
174,65901,Keylor Navas,GK,25,213
174,66741,Cheikhou Kouyate,MID,30,214
0,68662,Steve Cook,DEF,0,215
174,69867,Jack Colback,MID,33,216
174,73380,Chris Wood,FWD,26,217
0,83683,Serge Aurier,DEF,0,218
0,97587,Willy-Arnaud Boly,DEF,0,219
18,105172,James Ward-Prowse,MID,38,220
0,122182,Paul Onuachu,FWD,0,221
18,136460,Adam Armstrong,FWD,26,222
18,136742,Jan Bednarek,DEF,22,223
0,13796,Theo Walcott,AM,0,224
18,141732,Mohamed Elyounoussi,AM,27,225
18,148474,James Bree,DEF,25,226
18,251134,Duje Caleta-Car,DEF,29,227
18,255169,Ainsley Maitland-Niles,MID,26,228
18,256419,Che Adams,FWD,31,229
18,284115,Lyanco,DEF,21,230
18,313672,Kyle Walker-Peters,DEF,31,231
0,323791,Yan Valery,DEF,0,232
0,331466,Romain Perraud,DEF,0,233
18,342877,Joe Aribo,MID,25,234
18,357101,Ibrahima Diallo,MID,21,235
18,362357,Mohammed Salisu,DEF,33,236
0,363676,Moussa Djenepo,AM,0,237
18,369970,Armel Bella-Kotchap,DEF,21,238
18,384868,Gavin Bazunu,GK,24,239
18,38577,Alex McCarthy,GK,33,240
18,391348,Carlos Alcaraz,MID,21,241
